Pos,Game,Platform,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global
115,Tom Clancy's Rainbow Six: Vegas,X360,2006,Shooter,Ubisoft,1.07,0.65,0.02,0.19,1.94
116,Portal 2,X360,2011,Shooter,Valve Software,1.29,0.47,0.01,0.15,1.93
117,Need for Speed: Shift,X360,2009,Racing,Electronic Arts,0.72,0.95,0.01,0.22,1.9
118,Forza: Horizon,X360,2012,Racing,Microsoft Game Studios,0.78,0.89,0.04,0.18,1.89
119,Resident Evil 6,X360,2012,Action,Capcom,1.07,0.59,0.07,0.15,1.88
120,BioShock Infinite,X360,2013,Shooter,Take-Two Interactive,1.15,0.52,0.02,0.14,1.84
121,Tomb Raider (2013),X360,2013,Action,Square Enix,0.82,0.83,0.01,0.17,1.83
122,Madden NFL 07,X360,2006,Sports,Electronic Arts,1.66,0,0.01,0.13,1.79
123,The Orange Box,X360,2007,Shooter,Electronic Arts,1.07,0.53,0.02,0.17,1.79
124,Mortal Kombat vs DC Universe,X360,2008,Fighting,Midway Games,1.4,0.23,0,0.14,1.77
125,Lego Marvel Super Heroes,X360,2013,Action,Warner Bros. Interactive Entertainment,0.93,0.68,0,0.15,1.76
126,Crackdown,X360,2007,Shooter,Microsoft Game Studios,0.99,0.53,0.03,0.18,1.73
127,Batman: Arkham Origins,X360,2013,Action,Warner Bros. Interactive Entertainment,1.04,0.52,0,0.14,1.7
128,Hitman: Absolution,X360,2012,Action,Square Enix,0.65,0.86,0.01,0.17,1.68
129,Dishonored,X360,2012,Shooter,Bethesda Softworks,1.03,0.49,0.01,0.13,1.66
130,Kinect Star Wars,X360,2012,Action,Microsoft Game Studios,0.99,0.5,0.03,0.13,1.66
131,Madden NFL 15,X360,2014,Sports,Electronic Arts,1.5,0.05,0,0.09,1.65
132,Need For Speed: Undercover,X360,2008,Racing,Electronic Arts,0.76,0.7,0.01,0.18,1.64
133,Need for Speed Carbon,X360,2006,Racing,Electronic Arts,0.74,0.69,0.02,0.18,1.62
134,Army of Two,X360,2008,Shooter,Electronic Arts,1.07,0.37,0.02,0.15,1.62
135,Viva Pinata,X360,2006,Simulation,Microsoft Game Studios,0.44,0.95,0.02,0.2,1.61
136,Max Payne 3,X360,2012,Shooter,Take-Two Interactive,0.83,0.6,0.01,0.14,1.58
137,Far Cry 2,X360,2008,Shooter,Ubisoft,0.7,0.69,0.02,0.18,1.58
138,LEGO Batman 2: DC Super Heroes,X360,2012,Action,Warner Bros. Interactive Entertainment,0.85,0.59,0,0.14,1.58
139,Rage,X360,2011,Shooter,Bethesda Softworks,0.8,0.59,0.03,0.15,1.57
140,Kinectimals,X360,2010,Simulation,Microsoft Game Studios,0.98,0.45,0,0.13,1.57
141,Just Cause 2,X360,2010,Action,Square Enix,0.55,0.82,0.02,0.17,1.56
142,SoulCalibur IV,X360,2008,Fighting,Ubisoft,0.9,0.43,0.07,0.15,1.56
143,Saints Row IV,X360,2013,Action,Deep Silver,0.93,0.48,0.01,0.13,1.55
144,Destiny,X360,2014,Action,Activision,1.04,0.39,0,0.12,1.54
145,Tom Clancy's Ghost Recon Advanced Warfighter,X360,2006,Shooter,Ubisoft,1.39,0.02,0.02,0.1,1.52
146,Gears of War: Judgment,X360,2013,Shooter,Microsoft Game Studios,0.88,0.48,0.03,0.12,1.52
147,Need for Speed: Most Wanted - A Criterion Game,X360,2012,Racing,Electronic Arts,0.58,0.78,0.01,0.15,1.52
148,Dead Space 2,X360,2011,Shooter,Electronic Arts,0.92,0.44,0,0.12,1.48
149,Mafia II,X360,2010,Action,Take-Two Interactive,0.78,0.55,0,0.14,1.47
